Time,Wavelength,LogTOTAL,LogSTELLA,LogNEBUL
.22706E+07,865.00,39.35585,39.35585,-15.00000
.22706E+07,875.00,39.42661,39.42661,-15.00000
.22706E+07,885.00,39.40963,39.40963,-15.00000
.22706E+07,895.00,39.38342,39.38342,-15.00000
.22706E+07,905.00,39.42401,39.42401,-15.00000
.22706E+07,915.00,39.68603,39.68603,-14.99132
.22706E+07,925.00,39.60609,39.60609,-14.95088
.22706E+07,935.00,39.88170,39.88170,-14.91389
.22706E+07,945.00,39.84208,39.84208,-14.87980
.22706E+07,955.00,39.68674,39.68674,-14.84820
.22706E+07,965.00,39.67503,39.67503,-14.81874
.22706E+07,975.00,39.72509,39.72509,-14.79115
.22706E+07,985.00,39.36935,39.36935,-14.76522
.22706E+07,995.00,39.64402,39.64402,-14.74074
.22706E+07,1005.00,39.54507,39.54507,-14.71757
.22706E+07,1015.00,39.68275,39.68275,-14.69557
.22706E+07,1025.00,39.60267,39.60267,-14.67464
.22706E+07,1035.00,39.60688,39.60688,-14.65466
.22706E+07,1045.00,39.65320,39.65320,-14.63557
.22706E+07,1055.00,39.64546,39.64546,-14.61728
.22706E+07,1065.00,39.63177,39.63177,-14.59973
.22706E+07,1075.00,39.58846,39.58846,-14.58286
.22706E+07,1085.00,39.54284,39.54284,-14.56662
.22706E+07,1095.00,39.61869,39.61869,-14.55097
.22706E+07,1105.00,39.60503,39.60503,-14.53586
.22706E+07,1115.00,39.45355,39.45355,-14.52126
.22706E+07,1125.00,39.44154,39.44154,-14.50713
.22706E+07,1135.00,39.57890,39.57890,-14.49345
.22706E+07,1145.00,39.57341,39.57341,-14.48019
.22706E+07,1155.00,39.50092,39.50092,-14.46732
.22706E+07,1165.00,39.45112,39.45112,-14.45482
.22706E+07,1175.00,39.45233,39.45233,-14.44267
.22706E+07,1185.00,39.53215,39.53215,-14.43085
.22706E+07,1195.00,39.45018,39.45018,-14.41935
.22706E+07,1205.00,39.48789,39.48789,-14.40814
.22706E+07,1215.00,39.46365,39.46365,-14.39721
.22706E+07,1225.00,39.46992,39.46992,-14.38655
.22706E+07,1235.00,39.22422,39.22422,-14.37615
.22706E+07,1245.00,39.50869,39.50869,-14.36599
.22706E+07,1255.00,39.38525,39.38525,-14.35606
.22706E+07,1265.00,39.44659,39.44659,-14.34636
.22706E+07,1275.00,39.44156,39.44156,-14.33686
.22706E+07,1285.00,39.42314,39.42314,-14.32757
.22706E+07,1295.00,39.42703,39.42703,-14.31848
.22706E+07,1305.00,39.42370,39.42370,-14.31190
.22706E+07,1315.00,39.38343,39.38343,-14.30774
.22706E+07,1325.00,39.38284,39.38284,-14.30362
.22706E+07,1335.00,39.40120,39.40120,-14.29954
.22706E+07,1345.00,39.35514,39.35514,-14.29549
.22706E+07,1355.00,39.39330,39.39330,-14.29149
.22706E+07,1365.00,39.37977,39.37977,-14.28752
.22706E+07,1375.00,39.36386,39.36386,-14.28358
.22706E+07,1385.00,39.26939,39.26939,-14.27969
.22706E+07,1395.00,39.28981,39.28981,-14.27582
.22706E+07,1405.00,39.36136,39.36136,-14.27199
.22706E+07,1415.00,39.33745,39.33745,-14.26820
.22706E+07,1425.00,39.26302,39.26302,-14.26443
.22706E+07,1435.00,39.26865,39.26865,-14.26070
.22706E+07,1442.00,39.28262,39.28262,-14.25811
.22706E+07,1447.00,39.26451,39.26451,-14.25626
.22706E+07,1455.00,39.27503,39.27503,-14.25333
.22706E+07,1465.00,39.27224,39.27224,-14.24969
.22706E+07,1475.00,39.27699,39.27699,-14.24609
.22706E+07,1485.00,39.27436,39.27436,-14.24251
.22706E+07,1495.00,39.26245,39.26245,-14.23896
.22706E+07,1505.00,39.24663,39.24663,-14.23881
.22706E+07,1512.00,39.21165,39.21165,-14.24107
.22706E+07,1517.00,39.23626,39.23626,-14.24270
.22706E+07,1525.00,39.22862,39.22862,-14.24532
.22706E+07,1535.00,39.22017,39.22017,-14.24861
.22706E+07,1545.00,39.10835,39.10835,-14.25192
.22706E+07,1555.00,39.22616,39.22616,-14.25526
.22706E+07,1565.00,39.10990,39.10990,-14.25863
.22706E+07,1575.00,39.18253,39.18253,-14.26203
.22706E+07,1585.00,39.12657,39.12657,-14.26544
.22706E+07,1595.00,39.18314,39.18314,-14.26889
.22706E+07,1605.00,39.18269,39.18269,-14.27237
.22706E+07,1615.00,39.17395,39.17395,-14.27587
.22706E+07,1625.00,39.16760,39.16760,-14.27940
.22706E+07,1635.00,39.16315,39.16315,-14.28296
.22706E+07,1645.00,39.15602,39.15602,-14.28655
.22706E+07,1655.00,39.14148,39.14148,-14.29017
.22706E+07,1665.00,39.13732,39.13732,-14.29382
.22706E+07,1672.00,39.12870,39.12870,-14.29640
.22706E+07,1677.00,39.13676,39.13676,-14.29824
.22706E+07,1685.00,39.13047,39.13047,-14.30122
.22706E+07,1695.00,39.12194,39.12194,-14.30496
.22706E+07,1705.00,39.11421,39.11421,-14.30874
.22706E+07,1715.00,39.10410,39.10410,-14.31255
.22706E+07,1725.00,39.09536,39.09536,-14.31639
.22706E+07,1735.00,39.09228,39.09228,-14.32027
.22706E+07,1745.00,39.08490,39.08490,-14.32419
.22706E+07,1755.00,39.07863,39.07863,-14.32813
.22706E+07,1765.00,39.07055,39.07055,-14.33212
.22706E+07,1775.00,39.06118,39.06118,-14.33614
.22706E+07,1785.00,39.04924,39.04924,-14.34020
.22706E+07,1795.00,39.04482,39.04482,-14.34430
.22706E+07,1805.00,39.04101,39.04101,-14.34755
.22706E+07,1815.00,39.03209,39.03209,-14.34993
.22706E+07,1825.00,39.02761,39.02761,-14.35233
.22706E+07,1835.00,39.02058,39.02058,-14.35474
.22706E+07,1845.00,39.00940,39.00940,-14.35716
.22706E+07,1855.00,39.00399,39.00399,-14.35960
.22706E+07,1865.00,38.99854,38.99854,-14.36205
.22706E+07,1875.00,38.99323,38.99323,-14.36451
.22706E+07,1885.00,38.98147,38.98147,-14.36699
.22706E+07,1895.00,38.97250,38.97250,-14.36948
.22706E+07,1905.00,38.97025,38.97025,-14.37199
.22706E+07,1915.00,38.96111,38.96111,-14.37451
.22706E+07,1925.00,38.95102,38.95102,-14.37705
.22706E+07,1935.00,38.94959,38.94959,-14.37960
.22706E+07,1945.00,38.94486,38.94486,-14.38217
.22706E+07,1955.00,38.93151,38.93151,-14.38475
.22706E+07,1967.00,38.92945,38.92945,-14.38787
.22706E+07,1976.00,38.92638,38.92638,-14.39022
.22706E+07,1984.00,38.91786,38.91786,-14.39232
.22706E+07,1995.00,38.90957,38.90957,-14.39523
.22706E+07,2005.00,38.90582,38.90582,-14.39789
.22706E+07,2015.00,38.89942,38.89942,-14.40057
.22706E+07,2025.00,38.89488,38.89488,-14.40326
.22706E+07,2035.00,38.88429,38.88429,-14.40597
.22706E+07,2045.00,38.87871,38.87871,-14.40870
.22706E+07,2055.00,38.87012,38.87012,-14.41145
.22706E+07,2065.00,38.87058,38.87058,-14.41421
.22706E+07,2074.00,38.87372,38.87372,-14.41671
.22706E+07,2078.00,38.86625,38.86625,-14.41783
.22706E+07,2085.00,38.86387,38.86387,-14.41979
.22706E+07,2095.00,38.85460,38.85460,-14.42260
.22706E+07,2105.00,38.85062,38.85062,-14.42544
.22706E+07,2115.00,38.84586,38.84586,-14.42829
.22706E+07,2125.00,38.83973,38.83973,-14.43116
.22706E+07,2135.00,38.83301,38.83301,-14.43405
.22706E+07,2145.00,38.82523,38.82523,-14.43696
.22706E+07,2155.00,38.82146,38.82146,-14.43989
.22706E+07,2165.00,38.81401,38.81401,-14.44284
.22706E+07,2175.00,38.80846,38.80846,-14.44581
.22706E+07,2185.00,38.80125,38.80125,-14.44881
.22706E+07,2195.00,38.79718,38.79718,-14.45181
.22706E+07,2205.00,38.79076,38.79076,-14.45356
.22706E+07,2215.00,38.78328,38.78328,-14.45402
.22706E+07,2225.00,38.77668,38.77668,-14.45447
.22706E+07,2235.00,38.77087,38.77087,-14.45494
.22706E+07,2245.00,38.76496,38.76496,-14.45540
.22706E+07,2255.00,38.75762,38.75762,-14.45586
.22706E+07,2265.00,38.75293,38.75293,-14.45632
.22706E+07,2275.00,38.74700,38.74700,-14.45678
.22706E+07,2285.00,38.74092,38.74092,-14.45724
.22706E+07,2295.00,38.73076,38.73076,-14.45771
.22706E+07,2305.00,38.72749,38.72749,-14.45817
.22706E+07,2315.00,38.72087,38.72087,-14.45863
.22706E+07,2325.00,38.70832,38.70832,-14.45909
.22706E+07,2335.00,38.70808,38.70808,-14.45956
.22706E+07,2345.00,38.70264,38.70264,-14.46002
.22706E+07,2355.00,38.69689,38.69689,-14.46049
.22706E+07,2365.00,38.69048,38.69048,-14.46096
.22706E+07,2375.00,38.68396,38.68396,-14.46142
.22706E+07,2385.00,38.67654,38.67654,-14.46189
.22706E+07,2395.00,38.67216,38.67216,-14.46236
.22706E+07,2405.00,38.66619,38.66619,-14.46282
.22706E+07,2415.00,38.66064,38.66064,-14.46329
.22706E+07,2425.00,38.65560,38.65560,-14.46376
.22706E+07,2435.00,38.64879,38.64879,-14.46423
.22706E+07,2445.00,38.64390,38.64390,-14.46470
.22706E+07,2455.00,38.63817,38.63817,-14.46517
.22706E+07,2465.00,38.63217,38.63217,-14.46564
.22706E+07,2475.00,38.62610,38.62610,-14.46612
.22706E+07,2485.00,38.61975,38.61975,-14.46659
.22706E+07,2495.00,38.59789,38.59789,-14.46706
.22706E+07,2505.00,38.60751,38.60751,-14.46754
.22706E+07,2513.00,38.60003,38.60003,-14.46791
.22706E+07,2518.00,38.60036,38.60036,-14.46815
.22706E+07,2525.00,38.59710,38.59710,-14.46848
.22706E+07,2535.00,38.59178,38.59178,-14.46896
.22706E+07,2545.00,38.58529,38.58529,-14.46943
.22706E+07,2555.00,38.58059,38.58059,-14.46991
.22706E+07,2565.00,38.57500,38.57500,-14.47039
.22706E+07,2575.00,38.56997,38.56997,-14.47086
